Tier,Business Transactions ,,
integration-service,/smart-integration/email,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Femail%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/email,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Femail%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/spaj,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fspaj%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/spaj,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fspaj%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/spaj,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fspaj%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/spaj,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fspaj%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/spaj,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fspaj%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/aws,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Faws%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/aws,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Faws%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/aws,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Faws%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/aws,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Faws%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/aws,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Faws%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/application,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fapplication%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/application,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fapplication%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/application,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fapplication%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/application,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fapplication%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/application,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fapplication%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/payment,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fpayment%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/payment,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fpayment%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/payment,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fpayment%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/payment,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fpayment%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/payment,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fpayment%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/agent,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fagent%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/agent,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fagent%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/agent,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fagent%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/agent,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fagent%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/agent,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fagent%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/dukcapli,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdukcapli%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/dukcapli,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdukcapli%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/dukcapli,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdukcapli%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/dukcapli,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdukcapli%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/dukcapli,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdukcapli%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/blacklist,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fblacklist%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/blacklist,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fblacklist%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/blacklist,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fblacklist%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/blacklist,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fblacklist%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/blacklist,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fblacklist%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/doc,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdoc%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/doc,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdoc%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/doc,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdoc%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/doc,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdoc%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
integration-service,/smart-integration/doc,Very Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cintegration-service%7C%2Fsmart-integration%2Fdoc%7CNumber%20of%20Very%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
remote-selling-service-deployment,/remote-selling-service/v1,Load,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cremote-selling-service-deployment%7C%2Fremote-selling-service%2Fv1%7CCalls%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
remote-selling-service-deployment,/remote-selling-service/v1,Response ,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cremote-selling-service-deployment%7C%2Fremote-selling-service%2Fv1%7CAverage%20Response%20Time%20%28ms%29&time-range-type=BEFORE_NOW&duration-in-mins=43200
remote-selling-service-deployment,/remote-selling-service/v1,Error,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cremote-selling-service-deployment%7C%2Fremote-selling-service%2Fv1%7CErrors%20per%20Minute&time-range-type=BEFORE_NOW&duration-in-mins=43200
remote-selling-service-deployment,/remote-selling-service/v1,Slow,https://ptfwdindonesia-prod.saas.appdynamics.com/controller/rest/applications/Smart2/metric-data?metric-path=Business%20Transaction%20Performance%7CBusiness%20Transactions%7Cremote-selling-service-deployment%7C%2Fremote-selling-service%2Fv1%7CNumber%20of%20Slow%20Calls&time-range-type=BEFORE_NOW&duration-in-mins=43200
